scope,segment,policy,reward_name,metric,point_estimate,ci_low,ci_high,bootstrap_reps
segment,tight_window,never_eco,primary,estimated_lateness_min,5.103105479960738,4.943347084042809,5.296679734608346,500
segment,tight_window,never_eco,primary,estimated_co2_kg,3.819220413198713,3.8000245645659203,3.836688019538863,500
segment,tight_window,never_eco,primary,estimated_crash,0.11033991938233921,0.10884152612597854,0.11181431359566081,500
segment,tight_window,never_eco,primary,estimated_near_miss,0.5289248285194316,0.5250399941715064,0.532504672824379,500
segment,tight_window,never_eco,primary,estimated_on_time,0.5394902601713569,0.5314963943230135,0.5472218363930603,500
segment,late_day,never_eco,primary,policy_value_plugin,-4.918952443640214,-5.045150834065532,-4.803250725702778,500
segment,late_day,never_eco,primary,policy_value_ips,-4.63514304850713,-4.941309253339053,-4.303425079368816,500
segment,late_day,never_eco,primary,policy_value_dr,-4.68326369077941,-4.9877149560544565,-4.359240849243491,500
segment,late_day,never_eco,primary,estimated_lateness_min,1.9998511383583681,1.891639304762189,2.1190299300869335,500
segment,late_day,never_eco,primary,estimated_co2_kg,3.8535507648756866,3.838911403321496,3.868674953605874,500
segment,late_day,never_eco,primary,estimated_crash,0.1096297224714563,0.10840871137639492,0.11097758036312103,500
segment,late_day,never_eco,primary,estimated_near_miss,0.5260469637960727,0.5229754230508656,0.5292876631924391,500
segment,late_day,never_eco,primary,estimated_on_time,0.8170354133240991,0.8088689424982032,0.8230902150257748,500
overall,,heuristic_risk_rule,primary,policy_value_plugin,-4.806007237396387,-4.865085252902907,-4.740838040698658,500
overall,,heuristic_risk_rule,primary,policy_value_ips,-4.754386215580872,-4.956948454093093,-4.5870244145140555,500
overall,,heuristic_risk_rule,primary,policy_value_dr,-4.63770390236778,-4.78699654047144,-4.4996588492801655,500
overall,,heuristic_risk_rule,primary,estimated_lateness_min,1.9655050682637265,1.9048907316258794,2.021012808118671,500
overall,,heuristic_risk_rule,primary,estimated_co2_kg,3.7118849454643983,3.7038713642325156,3.7205119505378264,500
overall,,heuristic_risk_rule,primary,estimated_crash,0.10589258461739555,0.10521476212714237,0.1065802775339799,500
overall,,heuristic_risk_rule,primary,estimated_near_miss,0.5195996669329125,0.517814158831552,0.5213094783641758,500
overall,,heuristic_risk_rule,primary,estimated_on_time,0.8170522458713028,0.8135539362734007,0.8210874668198884,500
segment,high_traffic,heuristic_risk_rule,primary,policy_value_plugin,-7.424132381149479,-7.599949500923181,-7.255599573413547,500
segment,high_traffic,heuristic_risk_rule,primary,policy_value_ips,-7.314010205221806,-7.767082747301713,-6.870903190510888,500
segment,high_traffic,heuristic_risk_rule,primary,policy_value_dr,-7.159191085260012,-7.589932789670632,-6.739362675068814,500
segment,high_traffic,heuristic_risk_rule,primary,estimated_lateness_min,4.221605223872884,4.061125842884107,4.3925735968201485,500
segment,high_traffic,heuristic_risk_rule,primary,estimated_co2_kg,3.9734870357068734,3.956599355554533,3.9914798204436828,500
segment,high_traffic,heuristic_risk_rule,primary,estimated_crash,0.1274466916205563,0.12586494419487987,0.12900937895881343,500
segment,high_traffic,heuristic_risk_rule,primary,estimated_near_miss,0.5666814169648287,0.5635256453886002,0.5696913657461834,500
segment,high_traffic,heuristic_risk_rule,primary,estimated_on_time,0.6818392857217359,0.6725462315962396,0.6902034179062866,500
segment,rain_or_event,heuristic_risk_rule,primary,policy_value_plugin,-5.580276501984506,-5.6866677867541755,-5.471331304176033,500
segment,rain_or_event,heuristic_risk_rule,primary,policy_value_ips,-5.41346847039238,-5.704400998516249,-5.100246416267902,500
segment,rain_or_event,heuristic_risk_rule,primary,policy_value_dr,-5.321237033642541,-5.564293816663276,-5.0498439420550225,500
segment,rain_or_event,heuristic_risk_rule,primary,estimated_lateness_min,2.5775677338351124,2.475089369695418,2.6779984164683706,500
segment,rain_or_event,heuristic_risk_rule,primary,estimated_co2_kg,3.7618078773110644,3.7499846120644316,3.7746099864888594,500
segment,rain_or_event,heuristic_risk_rule,primary,estimated_crash,0.11716180897587526,0.11597937610408893,0.11825190939873384,500
segment,rain_or_event,heuristic_risk_rule,primary,estimated_near_miss,0.5393645514642138,0.5366287269955659,0.5418081373513091,500
segment,rain_or_event,heuristic_risk_rule,primary,estimated_on_time,0.7793879499697236,0.7736961467523162,0.7855391062671736,500
segment,tight_window,heuristic_risk_rule,primary,policy_value_plugin,-8.033920549383232,-8.207002809112844,-7.846042643203659,500
segment,tight_window,heuristic_risk_rule,primary,policy_value_ips,-8.25555275412946,-8.815020353581458,-7.790998620681627,500
segment,tight_window,heuristic_risk_rule,primary,policy_value_dr,-8.137989106982666,-8.60376211237262,-7.707547673351386,500
segment,tight_window,heuristic_risk_rule,primary,estimated_lateness_min,5.113360950174203,4.940880151503501,5.279406217375367,500
segment,tight_window,heuristic_risk_rule,primary,estimated_co2_kg,3.8017613278458056,3.7832657284845523,3.820854457567327,500
segment,tight_window,heuristic_risk_rule,primary,estimated_crash,0.11026134114662911,0.10879291983195047,0.11171107158117088,500
segment,tight_window,heuristic_risk_rule,primary,estimated_near_miss,0.5287969610867888,0.5250841222934992,0.5323301251626421,500
segment,tight_window,heuristic_risk_rule,primary,estimated_on_time,0.5393325310920247,0.5310903494446796,0.5479916576222584,500
